,County,Percent_Households_Below_Poverty_Level,Median_Age,Homeowner_Vacancy_Rate,Percent_Pop_25_And_Over_With_College_Or_Higher_Educ
469,"Johnson, Georgia",22.2,41.8,2.3,9.1
470,"Jones, Georgia",13.9,40.4,1.0,19.6
471,"Lamar, Georgia",20.7,37.8,1.3,15.8
472,"Lanier, Georgia",24.8,35.6,1.0,16.5
473,"Laurens, Georgia",24.8,38.9,1.0,16.2
474,"Lee, Georgia",10.6,37.2,1.2,25.4
475,"Liberty, Georgia",15.6,28.4,5.1,18.3
476,"Lincoln, Georgia",20.8,47.1,1.1,15.9
477,"Long, Georgia",13.7,32.9,2.1,17.4
478,"Lowndes, Georgia",24.1,30.5,2.8,25.3
479,"Lumpkin, Georgia",15.4,37.0,1.0,26.4
480,"McDuffie, Georgia",22.0,37.7,2.3,14.0
481,"McIntosh, Georgia",18.4,49.4,3.6,17.6
482,"Macon, Georgia",26.9,40.3,0.7,8.8
483,"Madison, Georgia",14.9,41.1,0.2,18.5
484,"Marion, Georgia",16.3,44.6,0.0,13.4
485,"Meriwether, Georgia",22.0,42.3,4.0,10.4
486,"Miller, Georgia",21.0,43.5,0.0,14.0
487,"Mitchell, Georgia",21.5,39.0,2.6,9.7
488,"Monroe, Georgia",15.2,42.9,0.7,26.8
489,"Montgomery, Georgia",21.2,40.0,1.8,16.0
490,"Morgan, Georgia",10.1,44.6,0.5,20.7
491,"Murray, Georgia",14.7,38.2,0.6,10.1
492,"Muscogee, Georgia",19.6,34.0,2.3,25.8
493,"Newton, Georgia",15.4,36.4,1.4,19.8
494,"Oconee, Georgia",5.7,40.4,1.1,52.3
495,"Oglethorpe, Georgia",14.4,42.4,2.2,17.1
496,"Paulding, Georgia",8.6,36.0,2.6,22.6
497,"Peach, Georgia",23.0,37.9,1.0,20.5
498,"Pickens, Georgia",10.8,45.4,3.2,23.1
499,"Pierce, Georgia",21.3,39.4,0.4,12.6
500,"Pike, Georgia",12.4,40.4,1.6,17.1
501,"Polk, Georgia",16.6,37.0,1.7,13.7
502,"Pulaski, Georgia",20.5,43.1,0.6,13.2
503,"Putnam, Georgia",14.3,46.2,5.8,23.4
504,"Quitman, Georgia",24.5,47.3,19.9,7.1
505,"Rabun, Georgia",16.3,49.2,2.4,24.2
506,"Randolph, Georgia",23.0,41.0,4.8,10.3
507,"Richmond, Georgia",20.5,34.1,4.0,21.4
508,"Rockdale, Georgia",11.9,38.1,2.9,26.3
509,"Schley, Georgia",21.0,37.8,2.9,13.3
510,"Screven, Georgia",19.9,41.4,2.1,15.4
511,"Seminole, Georgia",24.4,44.9,2.0,16.2
512,"Spalding, Georgia",17.2,39.2,2.8,17.8
513,"Stephens, Georgia",15.5,41.8,4.4,21.0
514,"Stewart, Georgia",30.5,35.4,0.9,12.2
515,"Sumter, Georgia",23.6,35.7,3.3,18.3
516,"Talbot, Georgia",19.6,50.1,1.8,12.1
517,"Taliaferro, Georgia",19.4,44.2,1.0,8.1
518,"Tattnall, Georgia",22.0,37.3,1.0,13.2
519,"Taylor, Georgia",24.1,45.2,0.2,12.6
520,"Telfair, Georgia",26.9,41.5,0.8,8.6
521,"Terrell, Georgia",30.9,41.1,1.8,11.2
522,"Thomas, Georgia",19.0,40.4,2.7,24.7
523,"Tift, Georgia",21.2,36.2,0.5,18.1
524,"Toombs, Georgia",21.2,36.4,2.6,16.2
525,"Towns, Georgia",14.7,54.0,2.8,30.1
526,"Treutlen, Georgia",27.0,40.1,4.0,12.4
527,"Troup, Georgia",21.0,36.4,2.5,19.0
528,"Turner, Georgia",32.6,40.3,3.2,11.7
529,"Twiggs, Georgia",23.3,45.7,0.1,11.8
530,"Union, Georgia",15.5,54.3,2.5,22.5
531,"Upson, Georgia",21.0,42.1,3.2,13.4
532,"Walker, Georgia",15.1,41.4,2.7,16.6
533,"Walton, Georgia",11.7,38.7,0.4,21.7
534,"Ware, Georgia",21.7,39.5,1.4,15.2
535,"Warren, Georgia",27.1,45.1,0.0,12.3
536,"Washington, Georgia",22.5,41.5,3.0,12.3
537,"Wayne, Georgia",15.6,38.9,2.8,13.0
538,"Webster, Georgia",21.7,45.1,0.0,14.7
539,"Wheeler, Georgia",28.1,38.8,0.0,13.6
540,"White, Georgia",11.1,46.1,1.7,22.7
541,"Whitfield, Georgia",14.4,36.0,1.8,15.7
542,"Wilcox, Georgia",21.5,39.8,0.0,12.2
543,"Wilkes, Georgia",20.2,45.1,2.5,13.8
544,"Wilkinson, Georgia",22.4,42.6,2.3,10.9
545,"Worth, Georgia",17.7,41.6,2.2,11.0
546,"Hawaii, Hawaii",16.0,42.7,2.6,29.4
547,"Honolulu, Hawaii",8.6,37.9,1.0,35.0
548,"Kalawao, Hawaii",5.1,57.4,,24.2
549,"Kauai, Hawaii",9.3,42.6,1.5,29.2
550,"Maui, Hawaii",9.2,41.2,1.6,27.2
551,"Ada, Idaho",11.1,37.0,1.1,38.5
552,"Adams, Idaho",12.5,55.2,2.2,21.2
553,"Bannock, Idaho",16.3,33.8,1.5,27.8
554,"Bear Lake, Idaho",16.7,39.6,2.9,18.9
555,"Benewah, Idaho",15.3,46.2,6.8,15.2
556,"Bingham, Idaho",11.7,33.6,2.6,21.2
557,"Blaine, Idaho",9.6,43.2,5.7,35.4
558,"Boise, Idaho",10.3,54.0,4.6,27.1
559,"Bonner, Idaho",14.2,47.9,2.9,23.8
560,"Bonneville, Idaho",10.8,32.9,1.8,31.3
561,"Boundary, Idaho",16.4,43.5,2.0,19.8
562,"Butte, Idaho",15.2,45.2,4.4,16.2
563,"Camas, Idaho",15.0,44.5,0.0,16.3
564,"Canyon, Idaho",13.4,33.6,1.0,18.7
565,"Caribou, Idaho",7.8,36.9,1.6,19.0
566,"Cassia, Idaho",14.1,32.9,1.5,18.6
567,"Clark, Idaho",9.3,33.2,7.7,12.2
568,"Clearwater, Idaho",13.8,50.4,1.9,17.9
569,"Custer, Idaho",15.9,53.0,4.1,24.4
570,"Elmore, Idaho",13.6,32.3,1.1,18.7
571,"Franklin, Idaho",11.6,32.8,1.9,17.7
572,"Fremont, Idaho",13.5,37.6,1.6,21.7
573,"Gem, Idaho",16.7,44.6,0.0,17.5
574,"Gooding, Idaho",15.7,38.7,0.8,17.2
575,"Idaho, Idaho",16.5,50.2,4.1,19.8
576,"Jefferson, Idaho",7.7,31.5,0.3,24.7
577,"Jerome, Idaho",14.9,32.7,2.0,16.1
578,"Kootenai, Idaho",11.2,40.2,1.3,25.2
579,"Latah, Idaho",18.2,28.7,1.8,45.4
580,"Lemhi, Idaho",13.0,52.1,5.3,22.9
581,"Lewis, Idaho",17.7,48.6,1.2,17.9
582,"Lincoln, Idaho",12.8,35.1,1.6,10.3
583,"Madison, Idaho",29.6,23.5,1.6,36.4
584,"Minidoka, Idaho",16.6,35.2,1.0,14.1
585,"Nez Perce, Idaho",12.8,40.8,2.1,22.9
586,"Oneida, Idaho",12.4,38.6,0.6,17.1
587,"Owyhee, Idaho",13.7,38.9,0.8,12.0
588,"Payette, Idaho",13.8,40.4,0.5,15.7
589,"Power, Idaho",8.8,38.3,3.4,15.1
590,"Shoshone, Idaho",18.2,47.3,3.0,11.5
591,"Teton, Idaho",3.9,37.2,3.3,41.0
592,"Twin Falls, Idaho",13.9,34.7,1.1,20.6
593,"Valley, Idaho",10.1,50.6,2.9,30.4
594,"Washington, Idaho",14.1,45.4,1.6,16.3
595,"Adams, Illinois",11.7,41.5,2.1,25.0
596,"Alexander, Illinois",21.2,45.3,1.2,12.9
597,"Bond, Illinois",15.2,41.6,3.6,22.9
598,"Boone, Illinois",9.5,38.5,2.0,23.5
599,"Brown, Illinois",12.4,38.9,1.6,14.1
600,"Bureau, Illinois",11.6,44.4,3.4,20.6
601,"Calhoun, Illinois",11.1,46.8,3.3,14.2
602,"Carroll, Illinois",12.3,48.3,2.5,19.5
603,"Cass, Illinois",13.5,40.0,2.2,15.1
604,"Champaign, Illinois",19.6,30.1,2.8,45.0
605,"Christian, Illinois",12.4,43.4,2.2,17.1
606,"Clark, Illinois",10.6,42.3,0.9,19.9
607,"Clay, Illinois",15.9,42.6,3.2,15.0
608,"Clinton, Illinois",8.4,40.6,1.8,22.3
609,"Coles, Illinois",21.6,35.7,2.1,26.0
610,"Cook, Illinois",13.9,36.8,2.0,38.8
611,"Crawford, Illinois",13.1,41.8,2.4,17.1
612,"Cumberland, Illinois",12.7,42.5,1.5,15.4
613,"DeKalb, Illinois",16.9,31.1,1.5,32.3
614,"De Witt, Illinois",10.5,43.6,1.0,21.3
615,"Douglas, Illinois",11.6,37.8,1.5,18.9
616,"DuPage, Illinois",6.7,39.3,1.1,49.4
617,"Edgar, Illinois",14.0,45.2,3.3,17.2
618,"Edwards, Illinois",12.0,43.5,1.6,13.9
619,"Effingham, Illinois",11.3,39.4,0.8,22.7
620,"Fayette, Illinois",14.9,41.9,4.5,11.3
621,"Ford, Illinois",12.1,43.4,1.6,21.4
622,"Franklin, Illinois",19.4,42.8,2.0,16.7
623,"Fulton, Illinois",14.1,43.2,1.6,17.6
624,"Gallatin, Illinois",22.6,45.6,1.9,10.9
625,"Greene, Illinois",12.3,42.5,3.1,12.8
626,"Grundy, Illinois",7.3,37.9,0.4,22.9
627,"Hamilton, Illinois",9.3,43.6,1.2,17.0
628,"Hancock, Illinois",11.5,46.0,3.5,21.0
629,"Hardin, Illinois",14.3,46.8,2.6,10.8
630,"Henderson, Illinois",7.7,50.0,3.4,18.3
631,"Henry, Illinois",10.6,43.1,1.7,23.3
632,"Iroquois, Illinois",12.9,44.4,2.6,15.9
633,"Jackson, Illinois",26.2,31.9,2.8,34.1
634,"Jasper, Illinois",15.8,43.1,0.2,16.6
635,"Jefferson, Illinois",15.1,40.9,2.1,17.9
636,"Jersey, Illinois",10.0,42.9,4.1,20.3
637,"Jo Daviess, Illinois",8.7,49.9,2.5,25.0
638,"Johnson, Illinois",10.5,43.7,1.6,16.0
639,"Kane, Illinois",9.1,37.3,1.1,33.1
640,"Kankakee, Illinois",13.9,37.7,2.1,20.8
641,"Kendall, Illinois",4.4,35.2,0.4,36.2
642,"Knox, Illinois",16.9,42.1,2.2,18.9
643,"Lake, Illinois",7.9,38.4,1.5,45.3
644,"LaSalle, Illinois",12.1,41.9,1.4,17.8
645,"Lawrence, Illinois",13.8,42.4,1.5,14.9
646,"Lee, Illinois",13.0,43.2,2.1,18.2
647,"Livingston, Illinois",13.9,42.0,1.8,14.8
648,"Logan, Illinois",9.3,40.1,2.0,19.9
649,"McDonough, Illinois",21.3,33.0,4.3,32.2
650,"McHenry, Illinois",6.7,40.2,1.5,34.4
651,"McLean, Illinois",15.4,33.1,1.4,44.8
652,"Macon, Illinois",16.4,41.1,2.0,22.1
653,"Macoupin, Illinois",13.1,43.7,1.0,18.4
654,"Madison, Illinois",12.9,40.2,2.3,26.8
655,"Marion, Illinois",15.8,42.2,1.5,15.2
656,"Marshall, Illinois",12.0,46.0,2.1,18.9
657,"Mason, Illinois",12.8,45.2,1.3,16.0
658,"Massac, Illinois",17.3,43.5,3.0,13.9
659,"Menard, Illinois",7.7,43.2,1.1,24.0
660,"Mercer, Illinois",9.5,44.9,1.2,17.4
661,"Monroe, Illinois",5.2,42.0,1.2,35.0
662,"Montgomery, Illinois",15.1,43.3,1.9,16.7
663,"Morgan, Illinois",13.2,40.8,2.0,19.3
664,"Moultrie, Illinois",7.3,40.7,1.5,18.6
665,"Ogle, Illinois",8.9,42.4,1.8,21.4
666,"Peoria, Illinois",15.3,37.5,2.8,30.6
667,"Perry, Illinois",15.9,42.2,0.7,12.5
668,"Piatt, Illinois",5.5,42.9,1.0,28.6
669,"Pike, Illinois",14.1,42.0,1.6,17.8
670,"Pope, Illinois",20.3,52.5,0.8,13.1
671,"Pulaski, Illinois",21.1,44.0,2.3,12.5
672,"Putnam, Illinois",8.2,48.1,2.1,16.6
673,"Randolph, Illinois",11.0,41.6,3.5,13.3
674,"Richland, Illinois",14.7,42.0,2.6,21.0
675,"Rock Island, Illinois",13.2,40.1,1.6,23.5
676,"St. Clair, Illinois",14.7,38.6,2.4,28.0
677,"Saline, Illinois",21.4,42.2,2.1,19.2
678,"Sangamon, Illinois",13.3,40.3,1.4,34.5
679,"Schuyler, Illinois",7.5,46.3,3.7,20.4
680,"Scott, Illinois",10.9,44.6,0.7,15.8
681,"Shelby, Illinois",11.7,45.1,0.9,16.8
682,"Stark, Illinois",14.4,45.1,3.1,17.0
683,"Stephenson, Illinois",13.4,45.3,1.4,19.6
684,"Tazewell, Illinois",8.3,41.0,1.9,26.3
685,"Union, Illinois",15.4,43.7,1.9,21.7
686,"Vermilion, Illinois",16.4,40.4,2.0,14.7
687,"Wabash, Illinois",14.1,43.8,3.6,18.2
688,"Warren, Illinois",13.2,39.8,0.2,22.8
689,"Washington, Illinois",6.8,43.9,2.3,20.9
690,"Wayne, Illinois",13.7,43.4,1.8,15.4
691,"White, Illinois",14.5,44.3,2.6,15.5
692,"Whiteside, Illinois",9.6,43.4,3.0,18.2
693,"Will, Illinois",6.8,37.9,1.4,34.3
694,"Williamson, Illinois",13.7,41.2,2.0,24.3
695,"Winnebago, Illinois",14.4,39.7,1.5,22.9
696,"Woodford, Illinois",8.1,40.5,1.7,33.2
697,"Adams, Indiana",14.5,33.5,0.2,15.5
698,"Allen, Indiana",12.3,35.9,1.3,28.5
699,"Bartholomew, Indiana",11.4,37.8,1.5,33.5
700,"Benton, Indiana",12.3,40.5,3.1,16.1
701,"Blackford, Indiana",12.8,44.0,3.5,13.5
702,"Boone, Indiana",6.7,38.1,1.1,49.3
703,"Brown, Indiana",9.9,50.0,2.4,28.9
704,"Carroll, Indiana",8.9,42.9,1.3,16.7
705,"Cass, Indiana",13.2,40.8,1.2,13.3
706,"Clark, Indiana",9.6,39.1,2.0,21.2
707,"Clay, Indiana",11.4,41.5,1.7,17.0
708,"Clinton, Indiana",10.7,37.8,2.5,16.3
709,"Crawford, Indiana",16.9,43.0,0.2,10.3
710,"Daviess, Indiana",12.8,34.4,1.4,13.2
711,"Dearborn, Indiana",10.4,42.5,2.4,22.9
712,"Decatur, Indiana",11.2,39.2,0.4,20.6
713,"DeKalb, Indiana",9.9,39.1,1.4,18.0
714,"Delaware, Indiana",20.9,35.6,1.8,23.7
715,"Dubois, Indiana",10.1,40.3,0.7,23.7
716,"Elkhart, Indiana",11.8,35.6,1.4,19.8
717,"Fayette, Indiana",18.2,42.8,2.5,13.3
718,"Floyd, Indiana",9.4,39.8,1.7,29.6
719,"Fountain, Indiana",12.1,43.4,1.1,14.9
720,"Franklin, Indiana",9.2,42.2,3.0,21.1
721,"Fulton, Indiana",13.0,41.3,3.1,15.8
722,"Gibson, Indiana",9.8,40.3,1.1,18.0
723,"Grant, Indiana",16.6,40.3,2.6,17.9
724,"Greene, Indiana",13.7,43.1,2.0,14.9
725,"Hamilton, Indiana",4.7,37.1,1.4,59.3
726,"Hancock, Indiana",6.8,39.8,0.9,30.8
727,"Harrison, Indiana",10.8,42.3,0.7,18.7
728,"Hendricks, Indiana",5.3,37.7,0.8,37.0
729,"Henry, Indiana",14.2,42.1,2.5,16.4
730,"Howard, Indiana",14.3,41.7,2.5,21.6
731,"Huntington, Indiana",10.9,40.7,1.2,20.1
732,"Jackson, Indiana",14.1,38.5,1.8,16.7
733,"Jasper, Indiana",8.9,40.3,1.0,14.3
734,"Jay, Indiana",13.2,39.7,1.6,11.4
735,"Jefferson, Indiana",14.1,40.8,3.3,17.9
736,"Jennings, Indiana",10.5,39.8,0.1,12.0
737,"Johnson, Indiana",6.9,37.5,1.1,32.7
738,"Knox, Indiana",14.9,37.9,0.8,16.9
739,"Kosciusko, Indiana",9.7,38.5,1.3,23.3
740,"LaGrange, Indiana",7.3,31.1,1.8,10.5
741,"Lake, Indiana",14.4,39.1,1.4,22.6
742,"LaPorte, Indiana",12.8,40.3,1.3,18.0
743,"Lawrence, Indiana",13.9,43.1,2.1,15.8
744,"Madison, Indiana",16.0,40.4,2.0,18.4
745,"Marion, Indiana",16.2,34.3,1.6,30.9
746,"Marshall, Indiana",13.3,40.0,1.2,19.7
747,"Martin, Indiana",12.7,42.7,2.8,13.7
748,"Miami, Indiana",13.4,40.1,1.4,13.0
749,"Monroe, Indiana",21.3,29.6,1.2,45.7
750,"Montgomery, Indiana",10.6,40.2,1.0,18.2
751,"Morgan, Indiana",9.7,41.5,1.0,17.3
752,"Newton, Indiana",10.9,43.1,0.6,11.9
753,"Noble, Indiana",7.6,38.7,1.2,13.7
754,"Ohio, Indiana",8.8,47.4,0.7,14.7
755,"Orange, Indiana",15.7,42.4,2.4,10.9
756,"Owen, Indiana",11.9,45.2,1.7,13.1
757,"Parke, Indiana",13.3,43.2,5.0,12.0
758,"Perry, Indiana",12.5,42.0,0.4,16.1
759,"Pike, Indiana",11.2,43.7,0.8,14.1
760,"Porter, Indiana",10.0,39.5,1.1,28.4
761,"Posey, Indiana",11.0,42.6,1.5,21.9
762,"Pulaski, Indiana",13.1,41.6,0.9,12.8
763,"Putnam, Indiana",9.4,37.9,1.2,16.8
764,"Randolph, Indiana",15.1,42.6,2.9,14.3
765,"Ripley, Indiana",12.0,40.7,2.0,18.0
766,"Rush, Indiana",13.9,41.7,2.0,13.9
767,"St. Joseph, Indiana",14.7,36.6,1.6,29.6
768,"Scott, Indiana",14.1,41.5,3.0,12.0
769,"Shelby, Indiana",10.2,40.8,0.3,18.7
770,"Spencer, Indiana",9.8,44.0,1.3,15.2
771,"Starke, Indiana",14.2,41.5,3.7,11.9
772,"Steuben, Indiana",7.3,43.7,1.2,21.8
773,"Sullivan, Indiana",12.4,41.0,0.8,12.1
774,"Switzerland, Indiana",18.9,40.5,4.9,10.9
775,"Tippecanoe, Indiana",17.8,28.2,1.4,38.7
776,"Tipton, Indiana",6.8,45.1,0.1,24.7
777,"Union, Indiana",7.3,43.5,1.6,18.5
778,"Vanderburgh, Indiana",15.6,38.3,1.6,27.0
779,"Vermillion, Indiana",14.3,42.9,1.8,14.2
780,"Vigo, Indiana",19.2,36.2,2.2,25.1
781,"Wabash, Indiana",11.3,42.3,1.4,18.1
782,"Warren, Indiana",10.1,44.4,0.7,19.4
783,"Warrick, Indiana",7.4,41.2,0.3,30.3
784,"Washington, Indiana",13.2,41.6,2.1,13.4
785,"Wayne, Indiana",14.8,40.6,1.7,18.2
786,"Wells, Indiana",9.3,40.3,1.5,18.2
787,"White, Indiana",8.6,42.0,3.1,16.4
788,"Whitley, Indiana",8.1,41.8,1.5,20.7
789,"Adair, Iowa",11.4,45.4,1.9,18.5
790,"Adams, Iowa",13.2,47.3,7.6,15.6
791,"Allamakee, Iowa",10.2,44.4,2.3,17.8
792,"Appanoose, Iowa",16.7,45.7,0.5,16.3
793,"Audubon, Iowa",10.3,48.1,1.2,17.1
794,"Benton, Iowa",9.4,42.6,1.8,22.1
795,"Black Hawk, Iowa",14.9,35.2,1.4,29.1
796,"Boone, Iowa",7.2,41.8,1.6,25.3
797,"Bremer, Iowa",7.4,39.8,1.3,30.7
798,"Buchanan, Iowa",9.3,39.1,1.2,21.5
799,"Buena Vista, Iowa",11.4,35.0,2.6,19.7
800,"Butler, Iowa",10.9,43.9,0.5,17.3
801,"Calhoun, Iowa",12.9,44.6,1.5,18.7
802,"Carroll, Iowa",10.3,42.0,1.4,22.4
803,"Cass, Iowa",14.4,44.9,2.8,20.1
804,"Cedar, Iowa",7.2,42.7,1.1,22.2
805,"Cerro Gordo, Iowa",11.4,44.3,1.4,23.6
806,"Cherokee, Iowa",10.5,46.3,1.4,22.2
807,"Chickasaw, Iowa",7.8,44.5,1.2,17.2
808,"Clarke, Iowa",13.1,40.5,0.7,16.0
809,"Clay, Iowa",12.2,42.9,2.9,22.7
810,"Clayton, Iowa",9.5,47.3,2.0,17.7
811,"Clinton, Iowa",12.1,42.2,1.6,17.9
812,"Crawford, Iowa",15.1,38.7,2.7,14.3
813,"Dallas, Iowa",5.6,35.4,0.7,50.4
814,"Davis, Iowa",11.3,36.8,0.2,19.5
815,"Decatur, Iowa",20.3,36.4,3.3,25.0
816,"Delaware, Iowa",9.4,43.8,1.4,16.6
817,"Des Moines, Iowa",15.1,42.9,2.1,20.1
818,"Dickinson, Iowa",6.9,48.4,2.1,33.6
819,"Dubuque, Iowa",11.2,38.6,0.5,30.8
820,"Emmet, Iowa",11.6,42.9,5.0,18.8
821,"Fayette, Iowa",12.1,43.8,2.4,18.3
822,"Floyd, Iowa",12.7,44.1,1.0,19.8
823,"Franklin, Iowa",11.9,42.7,2.6,18.0
824,"Fremont, Iowa",10.8,46.2,2.9,18.9
825,"Greene, Iowa",9.9,44.5,0.9,18.7
826,"Grundy, Iowa",6.4,42.6,1.3,27.9
827,"Guthrie, Iowa",10.7,45.5,2.8,19.8
828,"Hamilton, Iowa",11.4,42.6,0.1,24.3
829,"Hancock, Iowa",11.0,44.2,1.0,23.8
830,"Hardin, Iowa",9.8,44.7,2.8,20.8
831,"Harrison, Iowa",11.2,44.0,2.2,19.5
832,"Henry, Iowa",10.0,39.7,0.6,19.6
833,"Howard, Iowa",10.2,41.5,1.0,15.8
834,"Humboldt, Iowa",12.6,42.9,0.8,21.2
835,"Ida, Iowa",11.4,43.7,3.6,18.6
836,"Iowa, Iowa",9.4,41.7,1.4,18.8
837,"Jackson, Iowa",13.3,44.3,2.1,19.2
838,"Jasper, Iowa",10.1,42.1,2.9,18.8
839,"Jefferson, Iowa",15.7,42.9,1.0,31.5
840,"Johnson, Iowa",18.0,30.3,1.1,52.8
841,"Jones, Iowa",8.1,43.1,1.5,19.5
842,"Keokuk, Iowa",9.8,43.7,2.1,18.3
843,"Kossuth, Iowa",10.8,45.5,1.5,17.5
844,"Lee, Iowa",13.2,43.1,0.8,16.4
845,"Linn, Iowa",9.7,37.7,1.5,33.1
846,"Louisa, Iowa",10.8,41.9,0.3,14.9
847,"Lucas, Iowa",11.9,44.2,1.3,17.0
848,"Lyon, Iowa",6.2,38.0,1.7,20.7
849,"Madison, Iowa",5.5,40.7,1.4,24.5
850,"Mahaska, Iowa",13.6,39.3,1.4,22.0
851,"Marion, Iowa",8.9,39.4,0.2,28.8
852,"Marshall, Iowa",11.9,38.7,1.5,18.8
853,"Mills, Iowa",8.1,42.5,2.6,24.1
854,"Mitchell, Iowa",6.8,43.6,1.3,19.0
855,"Monona, Iowa",15.7,46.0,1.8,15.3
856,"Monroe, Iowa",12.3,43.0,0.2,17.4
857,"Montgomery, Iowa",11.4,44.2,1.3,18.5
858,"Muscatine, Iowa",9.6,38.1,0.4,21.5
859,"O'Brien, Iowa",10.7,41.9,3.2,18.8
860,"Osceola, Iowa",9.9,44.0,1.2,17.9
861,"Page, Iowa",11.3,44.1,2.1,20.2
862,"Palo Alto, Iowa",7.0,41.4,5.0,25.5
863,"Plymouth, Iowa",8.3,40.0,0.9,23.2
864,"Pocahontas, Iowa",12.0,47.6,0.9,15.0
865,"Polk, Iowa",9.8,35.5,1.3,36.7
866,"Pottawattamie, Iowa",11.1,39.7,0.9,21.5
867,"Poweshiek, Iowa",12.4,40.5,3.3,26.1
868,"Ringgold, Iowa",8.2,44.0,0.8,21.4
869,"Sac, Iowa",11.1,46.1,3.0,20.0
870,"Scott, Iowa",11.6,38.3,1.6,31.8
871,"Shelby, Iowa",9.8,46.4,0.3,22.2
872,"Sioux, Iowa",6.6,33.4,1.1,29.1
873,"Story, Iowa",20.9,26.6,0.5,51.6
874,"Tama, Iowa",11.0,42.6,2.4,15.8
875,"Taylor, Iowa",10.4,42.3,3.9,14.5
876,"Union, Iowa",13.4,40.3,2.8,18.0
877,"Van Buren, Iowa",11.9,45.4,2.1,14.4
878,"Wapello, Iowa",14.7,39.6,1.5,18.8
879,"Warren, Iowa",9.5,38.3,0.5,31.9
880,"Washington, Iowa",10.2,40.3,2.4,21.8
881,"Wayne, Iowa",13.5,43.2,1.0,12.7
882,"Webster, Iowa",13.3,39.0,1.7,19.9
883,"Winnebago, Iowa",9.5,41.8,1.3,21.8
884,"Winneshiek, Iowa",9.4,41.5,1.2,30.6
885,"Woodbury, Iowa",12.7,35.8,1.5,23.1
886,"Worth, Iowa",8.9,43.9,1.3,17.5
887,"Wright, Iowa",11.0,43.5,0.3,17.2
888,"Allen, Kansas",18.3,41.9,2.6,20.3
889,"Anderson, Kansas",13.4,40.8,4.6,18.1
890,"Atchison, Kansas",12.5,36.6,1.4,22.0
891,"Barber, Kansas",16.4,43.6,4.5,20.7
892,"Barton, Kansas",13.3,39.9,2.2,20.9
893,"Bourbon, Kansas",16.0,39.1,2.1,21.7
894,"Brown, Kansas",11.4,42.1,0.7,21.2
895,"Butler, Kansas",9.6,38.6,1.0,29.8
896,"Chase, Kansas",12.4,44.8,2.2,25.5
897,"Chautauqua, Kansas",19.8,47.9,4.3,15.9
898,"Cherokee, Kansas",14.0,41.3,1.4,19.6
899,"Cheyenne, Kansas",12.1,45.6,1.4,28.9
900,"Clark, Kansas",11.8,45.3,7.3,26.1
901,"Clay, Kansas",10.0,42.5,6.8,26.7
902,"Cloud, Kansas",12.1,40.8,4.3,24.0
903,"Coffey, Kansas",13.1,43.8,2.2,24.5
904,"Comanche, Kansas",11.7,48.1,3.5,16.0
905,"Cowley, Kansas",13.8,38.8,1.4,21.8
906,"Crawford, Kansas",21.7,32.5,2.6,29.9
907,"Decatur, Kansas",14.4,50.6,5.6,22.5
908,"Dickinson, Kansas",13.3,41.3,5.5,22.9
909,"Doniphan, Kansas",12.6,41.0,2.0,21.1
910,"Douglas, Kansas",17.2,29.8,1.7,49.6
911,"Edwards, Kansas",11.0,45.7,2.6,18.1
912,"Elk, Kansas",18.4,52.3,4.0,15.6
913,"Ellis, Kansas",16.8,32.5,2.4,36.3
914,"Ellsworth, Kansas",10.4,42.1,3.1,19.5
915,"Finney, Kansas",12.4,30.8,1.4,17.1
916,"Ford, Kansas",11.6,32.2,0.3,17.7
917,"Franklin, Kansas",10.2,40.0,2.5,20.4
918,"Geary, Kansas",11.7,26.4,6.7,23.2
919,"Gove, Kansas",10.5,48.2,1.3,19.7
920,"Graham, Kansas",9.4,50.4,4.3,24.7
921,"Grant, Kansas",11.3,32.6,0.0,14.9
922,"Gray, Kansas",4.9,36.0,4.5,20.2
923,"Greeley, Kansas",5.8,42.2,4.9,27.2
924,"Greenwood, Kansas",14.2,48.6,5.1,19.9
925,"Hamilton, Kansas",9.3,35.8,5.3,18.7
926,"Harper, Kansas",15.0,42.4,1.1,16.2
927,"Harvey, Kansas",11.1,39.2,3.7,33.2
928,"Haskell, Kansas",11.1,36.9,5.0,17.1
929,"Hodgeman, Kansas",7.7,47.6,2.2,30.8
930,"Jackson, Kansas",11.5,41.2,0.4,20.2
931,"Jefferson, Kansas",7.2,43.3,0.9,23.2
932,"Jewell, Kansas",16.0,52.8,0.7,19.3
933,"Johnson, Kansas",5.6,37.6,1.0,56.0
934,"Kearny, Kansas",12.2,34.7,5.0,14.7
935,"Kingman, Kansas",7.7,45.4,2.3,24.4
936,"Kiowa, Kansas",7.0,41.6,3.6,28.1
937,"Labette, Kansas",16.7,41.0,5.7,18.7
938,"Lane, Kansas",16.0,40.7,0.0,23.1
939,"Leavenworth, Kansas",8.7,37.8,1.3,31.5
940,"Lincoln, Kansas",11.5,46.5,2.0,22.8
941,"Linn, Kansas",18.4,44.4,1.3,16.2
942,"Logan, Kansas",9.5,39.7,0.0,16.6
943,"Lyon, Kansas",18.2,33.4,1.0,27.5
944,"McPherson, Kansas",10.1,40.8,1.9,28.0
945,"Marion, Kansas",9.2,44.5,3.5,25.0
946,"Marshall, Kansas",9.0,42.8,0.9,18.9
947,"Meade, Kansas",7.3,37.9,1.3,20.3
948,"Miami, Kansas",7.9,42.1,2.0,29.8
949,"Mitchell, Kansas",14.0,43.1,4.0,26.1
